model_name,architecture,activation,dropout,batchnorm,loss,optimizer,mae_log,rmse_log,r2_log,mae_price,rmse_price
MLP_small,88 -> 64 -> 32 -> 1,ReLU,0,False,MSELoss,Adam,0.7195717692375183,0.9195150783935006,0.23703902959823608,14.641417503356934,37.183514754945506
MLP_medium,88 -> 256 -> 128 -> 64 -> 1,ReLU,0.1,True,MSELoss,Adam,0.6910042762756348,0.8908108634422501,0.2839297652244568,14.096732139587402,37.037278649566375
MLP_large,88 -> 512 -> 256 -> 128 -> 64 -> 1,ReLU,0.2 / 0.1,True,MSELoss,Adam,0.6971385478973389,0.8942234892505435,0.27843284606933594,14.287731170654297,37.32896216097663
MLP_Huber,88 -> 256 -> 128 -> 64 -> 1,ReLU,0.1,True,SmoothL1Loss,Adam,0.6999226808547974,0.9008019556608704,0.2677772045135498,14.261002540588379,37.28564058911453
